epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.623,1.18822,4.49678,1.16142,0,0,0,0,0.8894,4.31586,0.91769,6.902e-05,6.902e-05,6.902e-05
2,448.372,0.92671,3.98366,0.99742,0.05241,0.57121,0.11668,0.10041,0.6712,3.92182,0.84653,0.00013764,0.00013764,0.00013764
3,654.714,0.8191,3.42051,0.97556,0.67311,0.16656,0.28413,0.24457,0.6269,3.32024,0.85495,0.000203432,0.000203432,0.000203432
4,856.726,0.77815,2.82896,1.00513,0.42319,0.50351,0.56864,0.4831,0.6117,2.38998,0.91869,0.000223863,0.000223863,0.000223863
5,1119.03,0.7542,2.25057,1.02216,0.59879,0.73112,0.73324,0.6349,0.58993,1.89356,0.9469,0.00021915,0.00021915,0.00021915
6,1372.93,0.68991,1.83477,1.00459,0.6933,0.84725,0.86365,0.76549,0.54263,1.40163,0.91395,0.000214438,0.000214438,0.000214438
7,1637.65,0.67331,1.53819,0.99101,0.8114,0.90644,0.93757,0.83312,0.51284,1.19399,0.89644,0.000209726,0.000209726,0.000209726
8,1861.05,0.62238,1.35055,0.97099,0.89565,0.95115,0.97092,0.87826,0.47528,0.92309,0.87474,0.000205013,0.000205013,0.000205013
9,2076.72,0.60046,1.17459,0.96089,0.91141,0.95913,0.98163,0.90389,0.44685,0.8728,0.86824,0.000200301,0.000200301,0.000200301
10,2286.93,0.58302,1.09125,0.94288,0.92639,0.97438,0.97953,0.909,0.41551,0.79773,0.85733,0.000195588,0.000195588,0.000195588
11,2488.87,0.5475,0.9589,0.93182,0.95363,0.97501,0.98823,0.92503,0.39177,0.70232,0.83769,0.000190876,0.000190876,0.000190876
12,2790.62,0.53504,0.9178,0.9211,0.97662,0.97838,0.99003,0.92698,0.38207,0.69248,0.83378,0.000186164,0.000186164,0.000186164
13,3047.3,0.51058,0.85378,0.90816,0.97395,0.99257,0.99003,0.93575,0.34588,0.63674,0.82944,0.000181451,0.000181451,0.000181451
14,3335.12,0.51222,0.83106,0.91681,0.97467,0.98714,0.99017,0.9394,0.34692,0.63924,0.82906,0.000176739,0.000176739,0.000176739
15,3613.85,0.49745,0.79732,0.90982,0.95838,0.9918,0.98992,0.90649,0.44069,0.61867,0.85206,0.000172026,0.000172026,0.000172026
16,3895.92,0.48021,0.77213,0.89566,0.97786,0.99136,0.9902,0.9457,0.32683,0.58158,0.81974,0.000167314,0.000167314,0.000167314
17,4395.87,0.47176,0.75644,0.90401,0.97824,0.99057,0.9935,0.9277,0.37892,0.58045,0.83815,0.000162602,0.000162602,0.000162602
18,4623.16,0.45704,0.72361,0.89047,0.98094,0.98623,0.99128,0.93671,0.34353,0.55953,0.81534,0.000157889,0.000157889,0.000157889
19,4823.1,0.4549,0.71755,0.89705,0.98648,0.99207,0.99088,0.94508,0.33435,0.55939,0.81826,0.000153177,0.000153177,0.000153177
20,5020.62,0.44316,0.70231,0.88867,0.98433,0.99031,0.99041,0.94082,0.34008,0.54423,0.81976,0.000148464,0.000148464,0.000148464
21,5223.83,0.44964,0.68471,0.88848,0.98363,0.99037,0.99023,0.95297,0.3044,0.52245,0.81261,0.000143752,0.000143752,0.000143752
22,5440.82,0.45354,0.68519,0.89083,0.98423,0.98873,0.99099,0.93948,0.33335,0.53211,0.82139,0.00013904,0.00013904,0.00013904
23,5659.14,0.43793,0.67812,0.88256,0.97933,0.98771,0.99213,0.9549,0.30081,0.51516,0.80932,0.000134327,0.000134327,0.000134327
24,5874.82,0.42702,0.65904,0.88035,0.98421,0.99474,0.99412,0.96231,0.28683,0.49486,0.80435,0.000129615,0.000129615,0.000129615
25,6081.7,0.42061,0.65153,0.87563,0.98331,0.98922,0.9935,0.95841,0.29324,0.49898,0.80457,0.000124902,0.000124902,0.000124902
26,6289.02,0.41055,0.64219,0.87331,0.98747,0.99114,0.99176,0.94315,0.32383,0.49902,0.81058,0.00012019,0.00012019,0.00012019
27,6575.96,0.4088,0.61906,0.87866,0.98443,0.98601,0.99112,0.94416,0.31012,0.49836,0.80757,0.000115478,0.000115478,0.000115478
28,6781.42,0.39778,0.61932,0.86797,0.98665,0.99106,0.99213,0.95899,0.2759,0.48333,0.80264,0.000110765,0.000110765,0.000110765
29,7023.62,0.40004,0.62667,0.87068,0.98699,0.99161,0.99266,0.95882,0.27289,0.47971,0.7965,0.000106053,0.000106053,0.000106053
30,7322.51,0.3958,0.62074,0.88014,0.9885,0.99446,0.99412,0.95297,0.27983,0.47314,0.79778,0.00010134,0.00010134,0.00010134
31,7532.54,0.39414,0.62062,0.87365,0.98962,0.99089,0.99412,0.96143,0.27372,0.46532,0.79908,9.6628e-05,9.6628e-05,9.6628e-05
32,7734.81,0.37856,0.58313,0.8605,0.98852,0.99428,0.99412,0.96661,0.26223,0.46019,0.79397,9.19156e-05,9.19156e-05,9.19156e-05
33,7966.27,0.38159,0.59791,0.86854,0.98735,0.98944,0.99266,0.96218,0.26605,0.47225,0.79543,8.72032e-05,8.72032e-05,8.72032e-05
34,8199.22,0.38547,0.60129,0.8652,0.98822,0.99363,0.99237,0.95945,0.2671,0.45812,0.79304,8.24908e-05,8.24908e-05,8.24908e-05
35,8432.74,0.3828,0.58206,0.86276,0.98918,0.99243,0.99138,0.95712,0.2846,0.47059,0.79766,7.77784e-05,7.77784e-05,7.77784e-05
36,8656.82,0.37208,0.57668,0.86257,0.98834,0.99339,0.99093,0.96129,0.25509,0.45677,0.7921,7.3066e-05,7.3066e-05,7.3066e-05
